Country,Lighthouse Name,DXCC,Continent,Location,ILLW,Status,Latitude,Longitude,Location Source
Austria,Moerbisch (Lake Neusiedlersee),OE,EU,"47.754524,16.6979502,122",AT0004,,47.75452,16.69795,LAT_LONG
Austria,Donau (Danube River),OE,EU,48°10'N 016°29'E,AT0005,,48.16667,16.48333,LAT_LONG
Australia,"Ballina Head / Ballina / Richmond River, NSW",VK,OC,"-28.867151,153.591866,227",AU0001,,-28.86715,153.59187,LAT_LONG
Australia,"Bulwer Island Rear, QLD",VK,OC,Museum,AU0003,,,,
Australia,"Burnett Heads (Old), QLD",VK,OC,-24.763518 152.409103,AU0004,,-24.76352,152.4091,LAT_LONG
Australia,"Cape Bruny (New), TAS",VK,OC,43°30'S 147°09'E,AU0005,,-43.5,147.15,LAT_LONG
Australia,"Cape Byron, NSW",VK,OC,28°38'S 153°38'E,AU0006,,-28.63333,153.63333,LAT_LONG
Australia,"Cape Jaffa, SA Moved to the Cape Jaffa Lighthouse Museum located on Marine Parade in Kingston.",VK,OC,36.8361°S 139.8463°E,AU0007,,-36.8361,139.8463,LAT_LONG
Australia,"Cape Leeuwin, WA",VK,OC,34°23'S 115°08'E,AU0008,,-34.38333,115.13333,LAT_LONG
Australia,"Cape Moreton, QLD",VK,OC,27°02'S 153°28'E,AU0009,,-27.03333,153.46667,LAT_LONG
Australia,"Cape Naturaliste, WA",VK,OC,33°32'S 115°02'E,AU0010,,-33.53333,115.03333,LAT_LONG
Australia,"Cape Otway Light Station (New), VIC",VK,OC,38°52'S 143°31'E,AU0011,,-38.86667,143.51667,LAT_LONG
Australia,"Cape Schanck, VIC",VK,OC,38°30'S 144°53'E,AU0012,,-38.5,144.88333,LAT_LONG
Australia,"Clarence Head, NSW",VK,OC,29°26'S 153°22'E,AU0013,,-29.43333,153.36667,LAT_LONG
Australia,"Cleveland Point (New), QLD",VK,OC,"-27.5060728,153.266411,13.93z",AU0014,,-27.50607,153.26641,LAT_LONG
Australia,"Corny Point, SA",VK,OC,34°54'S 137°01'E,AU0015,,-34.9,137.01667,LAT_LONG
Australia,"Currie, TAS",VK,OC,39°56'S 143°51'E,AU0016,,-39.93333,143.85,LAT_LONG
Australia,"Eastern / McCrae, VIC",VK,OC,38°21'S 144°55'E,AU0017,,-38.35,144.91667,LAT_LONG
Australia,"Evans Head, NSW",VK,OC,29°07'S 153°27'E,AU0018,,-29.11667,153.45,LAT_LONG
Australia,"Grassy Hill, QLD",VK,OC,15°28'S 145°15'E,AU0019,,-15.46667,145.25,LAT_LONG
Australia,"Green Cape, NSW",VK,OC,37°16'S 150°03'E,AU0020,,-37.26667,150.05,LAT_LONG
Australia,"Lowly Point, SA",VK,OC,33°00'S 137°47'E,AU0021,,-33,137.78333,LAT_LONG
Australia,"Macquarie, NSW",VK,OC,33°51'S 151°17'E,AU0022,,-33.85,151.28333,LAT_LONG
Australia,MV Cape Don,VK,OC,33°50'S 151°11'E,AU0023,,-33.83333,151.18333,LAT_LONG
Australia,"Norah Head, NSW",VK,OC,33°17'S 151°35'E,AU0024,,-33.28333,151.58333,LAT_LONG
Australia,"Caloundra Head (Old), QLD",VK,OC,"-26.8016027,153.1378408,18z",AU0025,,-26.8016,153.13784,LAT_LONG
Australia,"Pine Islet (New), QLD",VK,OC,21°40'S 150°13'E,AU0026,,-21.66667,150.21667,LAT_LONG
Australia,"Point Hicks, VIC",VK,OC,37°48'S 149°17'E,AU0027,,-37.8,149.28333,LAT_LONG
Australia,"Point Lonsdale (New), VIC",VK,OC,38°18'S 144°37'E,AU0028,,-38.3,144.61667,LAT_LONG
Australia,"Point Malcolm, SA",VK,OC,35°31'S 139°11'E,AU0029,,-35.51667,139.18333,LAT_LONG
Australia,"Point Perpendicular, NSW",VK,OC,35°06'S 150°48'E,AU0030,,-35.1,150.8,LAT_LONG
Australia,"Smoky Cape, NSW",VK,OC,30°55'S 153°05'E,AU0031,,-30.91667,153.08333,LAT_LONG
Australia,"Split Point, VIC",VK,OC,38°28'S 144°06'E,AU0032,,-38.46667,144.1,LAT_LONG
Australia,"Sugarloaf Point, NSW",VK,OC,32°27'S 152°32'E,AU0033,,-32.45,152.53333,LAT_LONG
Australia,"Tacking Point, NSW",VK,OC,31°29'S 152°56'E,AU0034,,-31.48333,152.93333,LAT_LONG
Australia,"Warden Head, NSW",VK,OC,35°22'S 150°30'E,AU0035,,-35.36667,150.5,LAT_LONG
Australia,"Point Gellibrand, VIC / Williamstown, VIC / Gellibrand Time Signal, VIC",VK,OC,37°52'S 144°55'E,AU0036,,-37.86667,144.91667,LAT_LONG
Australia,"Cape Liptrap, VIC Special note: Operation from the Cape Liptrap lighthouse requires a permit (with fee) from Parks Victoria together with proof of public liability insurance and a supporting submission as to the composition of the station, numbers involved, and times of attendance. Camping in the lighthouse precinct or adjacent car park is not permitted.",VK,OC,38°54'S 145°55'E,AU0037,,-38.9,145.91667,LAT_LONG
Australia,"Cape Bailey, NSW",VK,OC,34°02'S 151°13'E,AU0038,,-34.03333,151.21667,LAT_LONG
Australia,"Table Cape, TAS",VK,OC,40°57'S 145°44'E,AU0039,,-40.95,145.73333,LAT_LONG
Australia,"Mersey Bluff, TAS",VK,OC,41°10'S 146°21'E,AU0040,,-41.16667,146.35,LAT_LONG
Australia,"Hornby, NSW",VK,OC,33°50'S 151°17'E,AU0041,,-33.83333,151.28333,LAT_LONG
Australia,"Carnarvon, WA",VK,OC,24°53'S 113°40'E,AU0042,,-24.88333,113.66667,LAT_LONG
Australia,"Sandy Cape / Fraser Island, QLD",VK,OC,24°44'S 153°13'E,AU0043,,-24.73333,153.21667,LAT_LONG
Australia,"Crowdy Head, NSW",VK,OC,31°50'S 152°45'E,AU0044,,-31.83333,152.75,LAT_LONG
Australia,"Cape Cleveland, QLD",VK,OC,19°11'S 147°01'E,AU0045,,-19.18333,147.01667,LAT_LONG
Australia,"Barrenjoey Head, NSW",VK,OC,33°35'S 151°20'E,AU0046,,-33.58333,151.33333,LAT_LONG
Australia,"Crookhaven Heads, NSW",VK,OC,"-34.8997918,150.7698061,1081",AU0047,,-34.89979,150.76981,LAT_LONG
Australia,"Low Head, TAS",VK,OC,41°03'S 146°47'E,AU0048,,-41.05,146.78333,LAT_LONG
Australia,"Lady Bay Upper, VIC",VK,OC,38.3897°S 142.4857°E,AU0049,,-38.3897,142.4857,LAT_LONG
Australia,"Queenscliff High / ""The Black Lighthouse"" / Port Phillip Entrance Range Rear, VIC",VK,OC,38°16'S 144°40'E,AU0050,,-38.26667,144.66667,LAT_LONG
Australia,"Queenscliff Low / ""The White Lighthouse"" / Port Phillip Entrance Range Front, VIC",VK,OC,38°16'S 144°40'E,AU0051,,-38.26667,144.66667,LAT_LONG
Australia,"Endeavour / Henry Head, NSW",VK,OC,33°50'S 151°17'E,AU0052,,-33.83333,151.28333,LAT_LONG
Australia,"Tipara Reef Light Tower (Maritime Museum at Wallaroo), SA",VK,OC,33°56'S 137°38'E,AU0053,,-33.93333,137.63333,LAT_LONG
Australia,"South Solitary Island, NSW",VK,OC,30°13'S 153°16'E,AU0054,,-30.21667,153.26667,LAT_LONG
Australia,"Cape Nelson, VIC",VK,OC,38°26'S 141°32'E,AU0055,,-38.43333,141.53333,LAT_LONG
Australia,"Wilson's Promontory, VIC",VK,OC,39°08'S 146°26'E,AU0056,,-39.13333,146.43333,LAT_LONG
Australia,"Bribie Island Range Front / Northwest Channel Range Front, QLD",VK,OC,26°50'S 153°08'E,AU0057,,-26.83333,153.13333,LAT_LONG
Australia,"Bribie Island Range Rear / Northwest Channel Range Rear, QLD",VK,OC,26°50'S 153°08'E,AU0058,,-26.83333,153.13333,LAT_LONG
Australia,"Cape Capricorn, QLD",VK,OC,23°29'S 151°14'E,AU0059,,-23.48333,151.23333,LAT_LONG
Australia,"Sea Hill, QLD",VK,OC,"-23.4913043,150.9785485,663",AU0060,,-23.4913,150.97855,LAT_LONG
Australia,"Point Danger / Captain Cook Memorial, NSW",VK,OC,28.1650°S 153.5507°E,AU0061,,-28.165,153.5507,LAT_LONG
Australia,"Lady Barron, TAS / Pot Boil, TAS",VK,OC,"-40.1924917,148.2171343,12.94z",AU0062,,-40.19249,148.21713,LAT_LONG
Australia,"Point Moore / Geraldton, WA",VK,OC,28.7828°S 114.5793°E,AU0063,,-28.7828,114.5793,LAT_LONG
Australia,"Fitzroy Island, QLD",VK,OC,16°56'S 146°00'E,AU0064,,-16.93333,146,LAT_LONG
Australia,"Archer Point, QLD",VK,OC,15°35'S 145°20'E,AU0065,,-15.58333,145.33333,LAT_LONG
Australia,"Rocky Cape, TAS",VK,OC,40°51'S 145°30'E,AU0066,,-40.85,145.5,LAT_LONG
Australia,"Guilderton, WA",VK,OC,31º20'S 115º29'E,AU0067,,-31.33333,115.48333,LAT_LONG
Australia,"Waratah Steelworks Channel Directional, NSW",VK,OC,32°53'S 151°46'E,AU0068,,-32.88333,151.76667,LAT_LONG
Australia,"Port Germein, SA",VK,OC,33.023°S 137.999°E,AU0069,,-33.023,137.999,LAT_LONG
Australia,"Goose Island, TAS",VK,OC,"-40.3115212,147.8008411,1184",AU0070,,-40.31152,147.80084,LAT_LONG
Australia,"Montague Island, NSW",VK,OC,36.252°S 150.226°E,AU0071,,-36.252,150.226,LAT_LONG
Australia,"Port Waratah Steelworks Channel, NSW",VK,OC,32°53'S 151°46'E,AU0072,,-32.88333,151.76667,LAT_LONG
Australia,"Fremantle North Mole, WA",VK,OC,32.0539°S 115.7245°E,AU0073,,-32.0539,115.7245,LAT_LONG
Australia,"Cape Martin, SA",VK,OC,37.4896°S 140.0125°E,AU0074,,-37.4896,140.0125,LAT_LONG
Australia,"Point Quobba, WA",VK,OC,24.4799°S 113.4182°E,AU0075,,-24.4799,113.4182,LAT_LONG
Australia,"Point Home Lookout, TAS",VK,OC,42°33'S 147°57'E,AU0076,,-42.55,147.95,LAT_LONG
Australia,"Entrance Island, TAS",VK,OC,42.2110°S 145.2158°E,AU0077,,-42.211,145.2158,LAT_LONG
Australia,"Low Isles, QLD",VK,OC,16.3839°S 145.5600°E,AU0078,,-16.3839,145.56,LAT_LONG
Australia,"Port Melbourne Channel / Port Melbourne Range Rear, VIC",VK,OC,37.8371°S 144.9295°E,AU0079,,-37.8371,144.9295,LAT_LONG
Australia,"Gabo Island, VIC",VK,OC,37.5688°S 149.9169°E,AU0080,,-37.5688,149.9169,LAT_LONG
Australia,"Bluff Hill Point, TAS",VK,OC,41.0184°S 144.6264°E,AU0081,,-41.0184,144.6264,LAT_LONG
Australia,"Cape Wickham, TAS",VK,OC,39.5885°S 143.9429°E,AU0082,,-39.5885,143.9429,LAT_LONG
Australia,"Nobby's Head, NSW",VK,OC,32.9185°S 151.7984°E,AU0083,,-32.9185,151.7984,LAT_LONG
Australia,"Point Henry Signal Station, VIC",VK,OC,38.1273°S 144.4248°E,AU0084,,-38.1273,144.4248,LAT_LONG
Australia,"Lady Elliot Island, QLD",VK,OC,24.1146°S 152.7115°E,AU0085,,-24.1146,152.7115,LAT_LONG
Australia,"Casurina Point / Marlston Hill / Bunbury, WA",VK,OC,33.3191°S 115.6330°E,AU0086,,-33.3191,115.633,LAT_LONG
Australia,"Eddystone Point, TAS",VK,OC,40.9930°S 148.3478°E,AU0087,,-40.993,148.3478,LAT_LONG
Australia,"Eddystone Point Front, TAS",VK,OC,40.9930°S 148.3478°E,AU0088,,-40.993,148.3478,LAT_LONG
Australia,"Sandy Cape, TAS",VK,OC,41.0091°S 144.6102°E,AU0089,,-41.0091,144.6102,LAT_LONG
Australia,"Middle Bluff (Woody Island), QLD",VK,OC,27°15'S 153°06'E,AU0090,,-27.25,153.1,LAT_LONG
Australia,"Point Cartwright, QLD",VK,OC,26.6796°S 153.1385°E,AU0091,,-26.6796,153.1385,LAT_LONG
Australia,"Bustard Head, QLD",VK,OC,24.0224°S 151.7645°E,AU0093,,-24.0224,151.7645,LAT_LONG
Australia,"Cape Jervis, SA",VK,OC,35.6037°S 138.0945°E,AU0094,,-35.6037,138.0945,LAT_LONG
Australia,"Cape Willoughby, SA",VK,OC,35.8431°S 138.1327°E,AU0095,,-35.8431,138.1327,LAT_LONG
Australia,"Lady Bay Lower, VIC",VK,OC,38.3908°S 142.4855°E,AU0096,,-38.3908,142.4855,LAT_LONG
Australia,"Lightship Commonwealth Lightship 2 (CLS-2), QLD aka Carpentaria, QLD. Birthed at the Queensland Maritime Museum, Brisbane (in dry dock as of 5/2012).",VK,OC,27.4820°S 153.0260°E,AU0097,,-27.482,153.026,LAT_LONG
Australia,"Kiama Harbour, NSW",VK,OC,34.6719°S 150.8624°E,AU0099,,-34.6719,150.8624,LAT_LONG
Australia,"Lightship Commonwealth Lightship 4 (CLS-4), NSW aka Carpentaria, NSW. Birthed at the Australian National Maritime Museum, Sydney",VK,OC,33.8679°S 151.1983°E,AU0100,,-33.8679,151.1983,LAT_LONG
Australia,"Tasman Island, TAS",VK,OC,43.2395°E 148.0051°E,AU0101,,,,
Australia,"Point Charles, NT",VK,OC,12°24'S 130°38'E,AU0102,,-12.4,130.63333,LAT_LONG
Australia,"Burnett Heads (New) / South Head, QLD",VK,OC,24.7583°S 152.4127°E,AU0104,,-24.7583,152.4127,LAT_LONG
Australia,"Troubridge Hill, SA",VK,OC,35.1653°S 137.6412°E,AU0105,,-35.1653,137.6412,LAT_LONG
Australia,"West Cape, SA",VK,OC,35.2442°S 136.8241°E,AU0106,,-35.2442,136.8241,LAT_LONG
Australia,"Port Adelaide / South Neptune Island, SA",VK,OC,34.8424°S 138.5042°E,AU0107,,-34.8424,138.5042,LAT_LONG
Australia,"Iron Pot Island,TAS / Derwent, TAS",VK,OC,43.0588°S 147.4172°E,AU0108,,-43.0588,147.4172,LAT_LONG
Australia,"Island Point, QLD / Port Douglas, QLD",VK,OC,-16.478725 145.464162,AU0109,,-16.47872,145.46416,LAT_LONG
Australia,"Citadel Island, VIC The lantern is now located at the Port Albert Maritime Museum, VIC",VK,OC,Museum,AU0110,,,,
Australia,"Round Hill Point, TAS",VK,OC,41.0650°S 145.9619°E,AU0111,,-41.065,145.9619,LAT_LONG
Australia,"Point Gellibrand Pile, VIC (Polly Woodside Museum)",VK,OC,37.8243°S 144.9534°E,AU0112,,-37.8243,144.9534,LAT_LONG
Australia,"Woodman Point, WA / Gage Roads, WA",VK,OC,32.1309°S 115.7697°E,AU0113,,-32.1309,115.7697,LAT_LONG
Australia,"Griffiths Island, VIC / Griffith Island, VIC / Port Fairy, VIC",VK,OC,38.3909°S 142.2545°E,AU0114,,-38.3909,142.2545,LAT_LONG
Australia,"Fingal Head, NSW",VK,OC,28.2000°S 153.5708°E,AU0115,,-28.2,153.5708,LAT_LONG
Australia,"Cave Point, WA",VK,OC,35.1201°S 117.8990°E,AU0116,,-35.1201,117.899,LAT_LONG
Australia,"Whaler's Bluff / Whaler Point / Portland Bay, VIC",VK,OC,338.3373°S 141.6091°E,AU0117,,21.6627,141.6091,LAT_LONG
Australia,"Marino Rocks, SA",VK,OC,35.0537°S 138.5117°E,AU0118,,-35.0537,138.5117,LAT_LONG
Australia,"Cape Tourville, TAS",VK,OC,42.1226°'S 148.3427°E,AU0119,,-62.43333,-154.88333,LAT_LONG
Australia,"Caloundra Head (New), QLD",VK,OC,"-26.8016027,153.1378408,18z",AU0120,,-26.8016,153.13784,LAT_LONG
Australia,"Cape Banks, SA",VK,OC,37.8981°S 140.3766°E,AU0121,,-37.8981,140.3766,LAT_LONG
Australia,"Cape Northumberland, SA",VK,OC,38.0563°S 140.6675°E,AU0122,,-38.0563,140.6675,LAT_LONG
Australia,"Robe, SA",VK,OC,37.1643°S 139.7444°E,AU0123,,-37.1643,139.7444,LAT_LONG
Australia,"Sea Hill (Old), QLD Now at the Gladstone Maritime Museum",VK,OC,Museum,AU0124,,,,
Australia,"Cape Borda, SA",VK,OC,35.7528°S 136.5932°E,AU0125,,-35.7528,136.5932,LAT_LONG
Australia,"Cape du Couedic, SA",VK,OC,36.0580°S 136.7051°E,AU0126,,-36.058,136.7051,LAT_LONG
Australia,"Emery Point, NT",VK,OC,12.4538°S 130.8155°E,AU0127,,-12.4538,130.8155,LAT_LONG
Australia,"Cape Inscription, WA",VK,OC,"-25.482002, 112.971984,19",AU0128,,-25.482,112.97198,LAT_LONG
Australia,"Deal Island, TAS",VK,OC,"-39.4938991,147.323116,1549",AU0129,,-39.4939,147.32312,LAT_LONG
Australia,"Cape Donington, SA",VK,OC,"-34.726212,135.9950269,780",AU0130,,-34.72621,135.99503,LAT_LONG
Australia,"Troubridge Island, SA",VK,OC,"-35.1184557,137.8277329,2004",AU0131,,-35.11846,137.82773,LAT_LONG
Australia,"Cape St. George, NSW",VK,OC,"-35.1516343,150.7616456,942",AU0132,,-35.15163,150.76165,LAT_LONG
Australia,"Rottnest Island, WA / Wadjemup Hill, WA",VK,OC,"-32.0071879,115.5005973,2106",AU0133,,-32.00719,115.5006,LAT_LONG
Aruba,Noordwestpunt / California / Hudishibana,P40,SA,12.6136N 70.0513W,AW0001,,12.6136,-70.0513,LAT_LONG
Azerbaijan,Abseron / Artyom / Danba,4J & 4K,AS,"40.4068833,50.3252543,176",AZ0001,,40.40688,50.32525,LAT_LONG
Barbados,South Point,8P,NA,"13.047101,-59.529403,139",BB0001,,13.0471,-59.5294,LAT_LONG
Barbados,Ragged Point / East Point,8P,NA,"13.163705,-59.432918,278",BB0002,,13.1637,-59.43292,LAT_LONG
Belgium,Blankenberge Comte Jean Jetty,ON,EU,"51.312535,3.114431,89",BE0001,*,51.31254,3.11443,LAT_LONG
Belgium,Zeebrugge West Breakwater,ON,EU,"51.362198,3.186153,137",BE0002,*,51.3622,3.18615,LAT_LONG
Belgium,Zeebrugge East Breakwater,ON,EU,"51.362979,3.19788,89",BE0003,*,51.36298,3.19788,LAT_LONG
Belgium,Lightship West-Hinder I,ON,EU,"51.12457,4.29088,90",BE0004,*,51.12457,4.29088,LAT_LONG
Belgium,Lightship West-Hinder II,ON,EU,"51.334441,3.208166,89",BE0005,*,51.33444,3.20817,LAT_LONG
Belgium,Lightship West-Hinder III,ON,EU,"51.229592,4.404544,89",BE0006,*,51.22959,4.40454,LAT_LONG
Belgium,Nieuwpoort,ON,EU,51.154683 2.729968,BE0007,*,51.15468,2.72997,LAT_LONG
Belgium,"Oostende (""Lange Nelle"")",ON,EU,51.236369 2.930472,BE0008,*,51.23637,2.93047,LAT_LONG
Belgium,Zeebrugge Old Mole,ON,EU,"51.347649,3.202973,89",BE0009,?,51.34765,3.20297,LAT_LONG
Belgium,Zeebrugge Range Front (Old) / Heist aan Zee Low (Old),ON,EU,"51.3395338,3.2271984",BE0010,?,51.33953,3.2272,LAT_LONG
Belgium,Zeebrugge Range Front (New) / Heist aan Zee Low (New),ON,EU,"51.3450954,3.2185149,184",BE0011,?,51.3451,3.21851,LAT_LONG
Belgium,Zeebrugge Range Rear (New) / Heist aan Zee High (New),ON,EU,"51.339409,3.22747,178",BE0013,?,51.33941,3.22747,LAT_LONG
Belgium,Fort Liefkenshoek Range Front,ON,EU,51°18'N 4°17'E,BE0014,?,51.3,4.28333,LAT_LONG
Belgium,Fort Liefkenshoek Range Rear,ON,EU,51°18'N 4°17'E,BE0015,?,51.3,4.28333,LAT_LONG
Belgium,Knokke (replica),ON,EU,"51.353633,3.291124,178",BE0016,*,51.35363,3.29112,LAT_LONG
Belgium,Zeebrugge Range Rear (Old) / Heist aan Zee High (Old),ON,EU,"51.337526,3.230286,137",BE0017,?,51.33753,3.23029,LAT_LONG
Bulgaria,Shabla,LZ,EU,"43.5401529,28.6069712,228",BG0001,,43.54015,28.60697,LAT_LONG
Bulgaria,Emine / Nos Emine / Cape Emine,LZ,EU,"42.701417,27.899952,210",BG002,,42.70142,27.89995,LAT_LONG
Bonaire,Boca Spelonk,PJ2,SA,"12.212314, -68.196607,19",BQ0001,,12.21231,-68.19661,LAT_LONG
Brazil,Mucuripe (New),PP-PY,SA,"-3.726236,-38.471604,71",BR0001,,-3.72624,-38.4716,LAT_LONG
Brazil,Mucuripe (Old),PP-PY,SA,"-3.707802,-38.470428,71",BR0002,,-3.7078,-38.47043,LAT_LONG
Brazil,Pecém,PP-PY,SA,"-3.549787,-38.818332,143",BR0003,,-3.54979,-38.81833,LAT_LONG
Brazil,Ilha do Pará,PP-PY,SA,"0.88548,-49.989252,4571",BR0004,,0.88548,-49.98925,LAT_LONG
Brazil,Itapajé,PP-PY,SA,"-2.871277,-39.944047,143",BR0005,,-2.87128,-39.94405,LAT_LONG
Brazil,Cidreira,PP-PY,SA,-30.158465 -50.198872,BR0006,,-30.15847,-50.19887,LAT_LONG
Brazil,Cristóvão Pereira,PP-PY,SA,-31.063339 -51.165157,BR0007,,-31.06334,-51.16516,LAT_LONG
Brazil,Morro Branco,PP-PY,SA,"-4.158839,-38.107884,142",BR0008,,-4.15884,-38.10788,LAT_LONG
Brazil,Salinópolis / Salinas,PP-PY,SA,"-0.6110706,-47.3556931,4365",BR0009,,-0.61107,-47.35569,LAT_LONG
Brazil,Aracaju / Sergipe / Coroa do Meio,PP-PY,SA,"-10.969873,-37.0360274,247",BR0010,,-10.96987,-37.03603,LAT_LONG
Brazil,São Tomé / São Thomé,PP-PY,SA,"-22.0423918,-41.0535681,303",BR0011,,-22.04239,-41.05357,LAT_LONG
