"hHillKey","hName","hHeightM","hLatitude","hLongitude","hFullReference","hActive"
455,"Craig a Barns",360.0,56.5847,-3.60528,"GM/HCS-039","Y"
463,"Cairn of Claise",1064.0,56.8942,-3.33865,"GM/HES-008","Y"
483,"Driesh",947.0,56.848,-3.19652,"GM/HES-039","Y"
486,"Mayar",928.0,56.8489,-3.24632,"GM/HES-063","Y"
493,"Hill of Strone",850.0,56.8421,-3.16874,"GM/HES-040","Y"
511,"Balduff Hill",425.0,56.6677,-3.26776,"GM/HES-003","Y"
514,"Craiglea Hill",388.0,56.6965,-3.23611,"GM/HES-032","Y"
516,"Hill of Goauch",337.1,57.0375,-2.5568,"GM/HES-055","Y"
523,"Sgor an Lochain Uaine",1258.0,57.0584,-3.7258,"GM/HES-076","Y"
525,"Cairn Gorm",1244.0,57.1167,-3.64443,"GM/HES-007","Y"
539,"Derry Cairngorm",1155.0,57.0628,-3.622,"GM/HES-038","Y"
549,"Monadh Mor",1113.0,57.0268,-3.7501,"GM/HES-067","Y"
571,"Mullach Clach a'Bhlair",1019.0,57.0119,-3.84127,"GM/HES-071","Y"
605,"Carn na Farraidh",688.0,57.2149,-3.46778,"GM/HES-019","Y"
607,"Craig Leek",635.0,57.0209,-3.344,"GM/HES-029","Y"
613,"Creag Ealraich",504.0,57.3524,-3.75804,"GM/HCS-045","Y"
615,"Craig Tiribeg",486.0,57.4031,-3.68999,"GM/HCS-040","Y"
623,"A'Chailleach",930.0,57.1096,-4.1793,"GM/HCS-003","Y"
624,"Geal Charn",926.0,57.0574,-4.37359,"GM/HCS-060","Y"
632,"Corrieyairack Hill",892.0,57.0605,-4.59088,"GM/HCS-058","Y"
635,"Marg na Craige",833.5,57.0463,-4.27518,"GM/HCS-028","Y"
640,"Carn na Laraiche Maoile",810.0,57.1697,-4.34345,"GM/HCS-032","Y"
641,"Carn Easgann Bana",781.0,57.1226,-4.50403,"GM/HCS-056","Y"
644,"Cnoc Fraing",745.0,57.2038,-3.97806,"GM/HCS-037","Y"
649,"Cnoc Thulagain",530.0,57.2704,-4.08612,"GM/HCS-038","Y"
662,"Stob Poite Coire Ardair",1054.0,56.9641,-4.58576,"GM/HCS-089","Y"
690,"Sgurr an Lochain",1004.0,57.1412,-5.29753,"GM/HWS-139","Y"
692,"Druim Shionnach",987.0,57.1268,-5.18286,"GM/HWS-071","Y"
693,"Maol Chinn-dearg",980.3,57.1276,-5.25265,"GM/HWS-081","Y"
710,"Sgurr Thionail",906.0,57.1269,-5.3307,"GM/HWS-136","Y"
713,"Buidhe Bheinn",885.5,57.1271,-5.36645,"GM/HWS-035",""
714,"Am Bathaich",899.0,57.1143,-5.32453,"GM/HWS-135","Y"
716,"Sgurr a'Bhac Chaolais",885.2,57.1447,-5.37633,"GM/HWS-174","Y"
717,"Druim Fiaclach",869.0,56.8513,-5.62368,"GM/HWS-149","Y"
746,"Sgurr Beag",890.0,57.0197,-5.36344,"GM/HWS-148","Y"
750,"Aonach Sgoilte",849.0,57.0646,-5.56406,"GM/HWS-076","Y"
754,"Meall Bhasiter",718.0,57.0154,-5.54928,"GM/HWS-099","Y"
765,"Meall Coire nan Saobhaidh",826.0,57.0111,-5.0078,"GM/HWS-118","Y"
772,"Glas Bheinn",556.0,57.0298,-5.07795,"GM/HWS-074","Y"
778,"Beinn Gharbh",896.0,56.9311,-5.48249,"GM/HWS-154","Y"
781,"Beinn an Tuim",810.0,56.8969,-5.4016,"GM/HWS-166","Y"
798,"Cruach Dhubh an Ruidhe Fearna",445.0,56.9337,-5.67185,"GM/HWS-066","Y"
800,"Meall Bhanabhie [Meall Bhanbhaidh]",326.6,56.8637,-5.09254,"GM/HWS-098","Y"
804,"Mam Sodhail",1179.4,57.2798,-5.12027,"GM/HWS-079","Y"
810,"Tom a'Choinich",1112.0,57.2995,-5.04894,"GM/HWS-169","Y"
822,"Sgurr na Lapaich",1036.0,57.2728,-5.06312,"GM/HWS-080","Y"
827,"Sgurr na Carnach",1002.0,57.189,-5.34922,"GM/HWS-151","Y"
833,"Mullach na Dheiragain",982.0,57.2834,-5.18635,"GM/HWS-127","Y"
844,"Sgurr nan Saighead",929.0,57.206,-5.35489,"GM/HWS-145","Y"
845,"An Socach",921.0,57.2575,-5.17129,"GM/HWS-005","Y"
857,"Carn Loch na Gobhlaig",716.0,57.328,-4.89682,"GM/HWS-040","Y"
858,"Carn Bad a'Chreamha",634.0,57.2809,-5.44413,"GM/HWS-038","Y"
886,"Sgurr Fhuar-thuill",1049.0,57.4497,-4.94178,"GM/HWS-146","Y"
892,"Sgurr Choinnich",999.2,57.451,-5.20792,"GM/HWS-141","Y"
895,"Carn nan Gobhar",992.0,57.4523,-4.87993,"GM/HWS-051","Y"
908,"Sgurr a'Choire-rainich",848.0,57.5682,-4.93097,"GM/HWS-138","Y"
922,"Beinn Raimh",448.0,57.3204,-5.57615,"GM/HWS-030","Y"
959,"Sail Mhor",980.0,57.5881,-5.45113,"GM/HWS-158","Y"
960,"Coinneach Mhor",976.0,57.5832,-5.44008,"GM/HWS-157","Y"
962,"Sgurr nan Fhir Duibhe",963.0,57.585,-5.37805,"GM/HWS-159","Y"
979,"Sidhean Mor [Sithean Mor]",384.0,57.7036,-5.63376,"GM/HWS-156","Y"
1004,"An Teallach - Sgurr Fiona",1060.0,57.8007,-5.25944,"GM/HNS-009","Y"
1013,"Bidean a'Ghlas Thuill (An Teallach) - Glas Mheall Mor",979.0,57.8165,-5.24047,"GM/HNS-044","Y"
1015,"Stob Cadha Gobhlach",960.0,57.7912,-5.25072,"GM/HNS-132","Y"
1039,"Carn nam Buailtean",392.0,57.8298,-5.35654,"GM/HNS-054","Y"
1046,"Beinn Liath Mhor Fannaich",954.0,57.7061,-4.98978,"GM/HNS-026","Y"
1047,"Meall Gorm",949.0,57.6808,-4.9838,"GM/HNS-110","Y"
1049,"Meall a'Chrasgaidh",934.0,57.7129,-5.04874,"GM/HNS-102","Y"
1051,"Sgurr nan Each",923.0,57.681,-5.04637,"GM/HNS-133","Y"
1052,"An Coileachan",923.9,57.6676,-4.9495,"GM/HNS-004","Y"
1058,"Meallan Chuaich",697.0,57.6785,-5.16224,"GM/HNS-120","Y"
1064,"Meall nan Ceapraichean",977.0,57.7985,-4.93404,"GM/HNS-118","Y"
1070,"Am Faochagach - Carn Gorm-loch",909.0,57.778,-4.8285,"GM/HNS-002","Y"
1092,"Glas Leathad Beag [1891: Top of Coire Lochain]",928.0,57.7006,-4.53146,"GM/HNS-091","Y"
1117,"Beinn Dearg",423.0,58.5461,-4.95814,"GM/HNS-022","Y"
1121,"Cnoc a'Ghiubhais",298.0,58.5845,-4.98401,"GM/HNS-060","Y"
1136,"Meallan Liath",599.7,58.4164,-4.54464,"GM/HNS-121","Y"
1148,"Ben Screavie",333.0,58.3103,-4.88665,"GM/HNS-042","Y"
1149,"Cnoc Craggie",319.0,58.442,-4.39128,"GM/HNS-069","Y"
1162,"Beinn a'Mhadaidh",403.2,58.3447,-4.10472,"GM/HNS-016","Y"
1178,"Meall Eachainn",343.5,57.9723,-4.337,"GM/HNS-109","Y"
1179,"An Stoc-bheinn",336.3,57.991,-4.29946,"GM/HNS-008","Y"
1181,"Cnoc Bad an Leathaid",284.0,58.2879,-4.21732,"GM/HNS-066","Y"
1182,"Creag an Amalaidh",261.0,0.0,0.0,"GM/HNS-080","N"
1184,"Conival",987.0,58.1357,-4.8835,"GM/HNS-079","Y"
1196,"Beinn a'Bhutha",547.0,58.2679,-4.90159,"GM/HNS-013","Y"
1200,"Beinn an Fhuarain",502.0,58.0974,-4.95292,"GM/HNS-018","Y"
1201,"Stack of Glencoul",497.0,58.2129,-4.91241,"GM/HNS-139","Y"
1203,"Creag nan Suibheag",466.0,58.2235,-4.75659,"GM/HNS-083","Y"
1204,"Cnoc na Sroine [Cnoc na Stroine]",400.0,58.0697,-4.96179,"GM/HNS-075","Y"
1213,"Sgorr Tuath",587.5,58.0163,-5.20065,"GM/HNS-131","Y"
1215,"An Laogh",546.0,58.0429,-5.11594,"GM/HNS-006","Y"
1216,"Beannan Beaga",396.0,57.9711,-5.20402,"GM/HNS-011","Y"
1220,"Baca Ruadh",639.0,57.5374,-6.2209,"GM/HSI-008","Y"
1243,"Sgurr a'Ghreadaidh",973.0,57.2271,-6.23481,"GM/HSI-137","Y"
1245,"Sgurr na Banachdich",965.0,57.221,-6.24165,"GM/HSI-140","Y"
1247,"Bruach na Frithe",958.0,57.2468,-6.2108,"GM/HSI-057","Y"
1258,"Sgurr nan Eag",926.2,57.1958,-6.21126,"GM/HSI-141","Y"
1267,"Beinn Dearg Mheadhonach",651.0,57.2669,-6.12286,"GM/HSI-025","Y"
1278,"Beinn Bhreac (Soay)",141.0,57.1599,-6.19883,"GM/HSI-021","Y"
1299,"Sgaorishal",280.0,57.0326,-6.36652,"GM/HSI-134","Y"
1307,"Cruachan Dearg",704.1,56.4282,-5.94519,"GM/HSI-085","Y"
1315,"Creach Bheinn",491.7,56.3837,-6.18196,"GM/HSI-076","Y"
1323,"Cruach Torr an Lochain",347.7,56.4913,-5.95878,"GM/HSI-083","Y"
1324,"Carn Mor",343.1,56.5595,-6.23459,"GM/HSI-061","Y"
1332,"Carnan Mor",141.0,56.4553,-6.92341,"GM/HSI-063","Y"
1338,"Sgurr Dhomhuill Mor",713.7,56.8197,-5.70433,"GM/HWS-143","Y"
1345,"Meall an Tarmachain",405.0,56.7198,-6.10066,"GM/HWS-092","Y"
1353,"Druim Garbh",803.0,56.7585,-5.46668,"GM/HWS-142","Y"
1360,"Sgorr an Tarmachain",756.0,56.7838,-5.53924,"GM/HWS-161","Y"
1389,"Beinn Dearg",482.0,56.1955,-5.18811,"GM/HSS-028","Y"
1406,"Meall a'Chaise",146.0,56.3,-5.63315,"GM/HSS-214","Y"
1418,"Cnoc nan Gabhar",230.0,55.6002,-5.49053,"GM/HSS-078","Y"
1430,"Mullach Coire a'Chuir",639.0,56.188,-4.9489,"GM/HSS-231","Y"
1437,"Cruach Bhuidhe",568.3,56.1082,-5.01642,"GM/HSS-119","Y"
1438,"Cruach nan Capull",565.0,56.2077,-4.98751,"GM/HSS-123","Y"
1448,"Cnoc na Carraige",209.0,55.8643,-5.23763,"GM/HSS-076","Y"
1465,"Beinn Bhan",472.0,55.73,-6.13795,"GM/HSI-017","Y"
1469,"Beinn Dubh",267.0,55.7979,-6.11447,"GM/HSI-026","Y"
1479,"Beinn Tarsuinn",555.9,55.6559,-5.29089,"GM/HSI-038","Y"
1481,"Ard Bheinn",512.0,55.5457,-5.25904,"GM/HSI-005","Y"
1486,"Clauchland Hills",260.0,55.5583,-5.11988,"GM/HSI-068","Y"
1487,"Carnan Eoin",143.0,56.1084,-6.16868,"GM/HSI-062","Y"
1505,"Cnoc Lochy",466.0,57.272,-3.38892,"GM/HES-026","Y"
1507,"Tom an Uird",419.0,57.3487,-3.50719,"GM/HES-079","Y"
1526,"Windyheads Hill",231.0,57.6468,-2.24793,"GM/HES-084","Y"
1543,"Cunnigill Hill",176.0,60.3891,-1.21812,"GM/HSI-087","Y"
1545,"Faan Hill",173.0,60.504,-1.37557,"GM/HSI-092","Y"
1547,"Hill of Clibberswick",160.0,60.7915,-0.784969,"GM/HSI-102","Y"
1558,"Hill of Miffia",158.0,59.001,-3.32894,"GM/HSI-105","Y"
1585,"Mullach Breac Mhalasgair",172.0,58.0566,-6.57628,"GM/HSI-121","Y"
1593,"Ceartabhal [Ceartaval]",556.0,58.0046,-7.0083,"GM/HSI-067","Y"
1598,"Leosabhal [Leosaval]",412.0,57.9791,-7.01164,"GM/HSI-113","Y"
1604,"Taran Mor",303.0,58.0288,-7.02637,"GM/HSI-155","Y"
1607,"Sranndabhal [Shranndabhal]",211.0,57.7513,-6.9833,"GM/HSI-147","Y"
1625,"Beinn Tairbeirt [Ben Tarbert]",168.0,57.3343,-7.30773,"GM/HSI-051","Y"
1645,"King's Seat Hill",648.0,56.1806,-3.71915,"GM/HSS-184","Y"
1649,"Beinn nan Eun",631.0,56.2931,-4.06358,"GM/HSS-031","Y"
1684,"Blackside",434.0,55.5513,-4.22669,"GM/HSS-052","Y"
1691,"Kirriereoch Hill",786.0,55.1512,-4.48015,"GM/HSS-188","Y"
1693,"Meikle Millyea",749.0,55.115,-4.32821,"GM/HSS-222","Y"
1704,"Curleywee",674.0,55.063,-4.42125,"GM/HSS-131","Y"
1705,"Cairnsgarroch",659.0,55.1941,-4.33354,"GM/HSS-063","Y"
1712,"Dungeon Hill",620.0,55.1361,-4.41667,"GM/HSS-146","Y"
1726,"Garleffin Fell",431.0,55.2565,-4.59849,"GM/HSS-162","Y"
1727,"Shaw Hill",383.0,55.0207,-4.20699,"GM/HSS-253","Y"
1732,"Carlock Hill",323.0,55.0526,-4.99845,"GM/HSS-064","Y"
1734,"Troweir Hill",295.6,55.2259,-4.81392,"GM/HSS-295","Y"
1735,"Airie Hill",291.0,54.9927,-4.15654,"GM/HSS-001","Y"
1738,"Inshanks Fell",164.0,54.6794,-4.92687,"GM/HSS-180","Y"
1749,"Blacklorg Hill",680.9,55.3138,-4.12256,"GM/HSS-051","Y"
1750,"Dun Law",677.0,55.4048,-3.71237,"GM/HSS-142","Y"
1751,"Wedder Law",672.0,55.3053,-3.67343,"GM/HSS-277","Y"
1752,"Gana Hill",668.0,55.292,-3.64873,"GM/HSS-159","Y"
1756,"Moorbrock Hill",650.0,55.2595,-4.173,"GM/HSS-227","Y"
1765,"Lousie Wood Law [Louise Wood Law]",619.0,55.419,-3.69036,"GM/HSS-205","Y"
1769,"Earncraig Hill",611.0,55.2957,-3.6187,"GM/HSS-150","Y"
1776,"Steygail",573.0,55.3573,-3.75449,"GM/HSS-259","Y"
1779,"Enoch Hill",569.0,55.3336,-4.26832,"GM/HSS-151","Y"
1780,"Stony Hill",561.0,55.4709,-4.01779,"GM/HSS-261","Y"
1791,"Darngarroch Hill",373.0,55.1142,-3.87741,"GM/HSS-132","Y"
1794,"Maidenpap",314.0,54.937,-3.72194,"GM/HSS-209","Y"
1799,"Killyleoch Hill",239.7,55.12,-3.75992,"GM/HSS-183",""
1810,"West Cairn Hill",562.0,55.8106,-3.42593,"GM/HSS-279","Y"
1818,"Crailzie Hill",476.0,55.6941,-3.28319,"GM/HSS-102","Y"
1831,"Cramalt Craig",830.2,55.5093,-3.31822,"GM/HSS-103","Y"
1836,"Lochcraig Head",800.8,55.4465,-3.31896,"GM/HSS-203","Y"
1844,"Under Saddle Yoke",745.0,55.4001,-3.35559,"GM/HSS-273","Y"
1847,"Pykestone Hill",737.0,55.568,-3.31295,"GM/HSS-243","Y"
1860,"Garelet Dod",698.0,55.4414,-3.38304,"GM/HSS-161","Y"
1861,"Black Law",698.0,55.5388,-3.2332,"GM/HSS-047","Y"
1862,"Chapelgill Hill",696.0,55.5574,-3.48226,"GM/HSS-069","Y"
1869,"Loch Fell",688.0,55.3295,-3.30954,"GM/HSS-201","Y"
1885,"Bodesbeck Law",664.2,55.3806,-3.3116,"GM/HSS-053","Y"
1895,"Whitehope Heights",637.0,55.4106,-3.42978,"GM/HSS-284","Y"
1901,"Hudderstone",626.0,55.5282,-3.55071,"GM/HSS-177","Y"
1924,"Mountbenger Law",544.0,55.5369,-3.0916,"GM/HSS-228","Y"
1926,"Arkleton Hill",521.0,55.2203,-2.93671,"GM/HSS-006","Y"
1927,"Fanna Hill",515.0,55.321,-2.67951,"GM/HSS-152","Y"
1929,"Fastheugh Hill",501.5,55.5393,-2.96295,"GM/HSS-154","Y"
1940,"Craig Hill",382.0,55.5949,-2.88731,"GM/HSS-093","Y"
1944,"Ayton Hill [Lamberton Hill]",217.0,55.8206,-2.09094,"GM/HSS-012","N"
1946,"North Barrule",565.0,54.2902,-4.39401,"GD/HGD-001","Y"
1953,"Bwlch Mawr",510.3,53.0048,-4.34618,"GW/HNW-008","Y"
1960,"Mynydd Anelog",191.4,52.8108,-4.74344,"GW/HNW-065",""
1966,"Carnedd Dafydd",1044.0,53.1477,-4.00084,"GW/HNW-010","Y"
2003,"Moelwyn Bach",710.0,52.9743,-3.9966,"GW/HNW-062","Y"
2009,"Cnicht",689.0,52.9997,-4.01987,"GW/HNW-012","Y"
2018,"Moel yr Ogof",655.0,53.0085,-4.15331,"GW/HNW-059","Y"
2043,"Moel y Gydros",522.3,52.9948,-3.61905,"GW/HNW-058","Y"
2044,"Marial Gwyn [Foel Goch]",519.0,53.0886,-3.49501,"GW/HNW-040","Y"
2048,"Moelfre Uchaf",396.0,53.23,-3.65233,"GW/HNW-061","Y"
2058,"Diffwys",750.0,52.7916,-3.98677,"GW/HNW-020","Y"
2062,"Rhinog Fach",712.0,52.8242,-3.98295,"GW/HNW-081","Y"
2067,"Dduallt",662.0,52.8307,-3.76695,"GW/HNW-019","Y"
2075,"Moel Penamnen",623.0,53.0171,-3.91509,"GW/HNW-050","Y"
2076,"Gallt y Daren",619.4,52.8937,-3.81709,"GW/HNW-031","Y"
2113,"Moel Fferna",630.0,52.9483,-3.31592,"GW/HNW-043","Y"
2115,"Foel y Geifr",626.0,52.8347,-3.57925,"GW/HNW-029","Y"
2133,"Moel y Gwelltyn",382.0,52.8411,-3.23318,"GW/HNW-057","Y"
2147,"Waun-oer",670.0,52.717,-3.79939,"GW/HNW-086","Y"
2149,"Craig-las [Tyrrau Mawr]",661.0,52.7035,-3.95949,"GW/HNW-084","Y"
2152,"Craig-y-llyn",622.0,52.689,-3.97621,"GW/HNW-016","Y"
2154,"Ceiswyn",545.0,52.6813,-3.85741,"GW/HNW-011","Y"
2156,"Bryn Brith",382.9,52.7193,-3.97871,"GW/HNW-003",""
2176,"Moel Bentyrch",338.0,52.6751,-3.39839,"GW/HNW-042","Y"
2177,"Cefn Coch [Ffridd Esgair-yr-owen]",285.0,52.6078,-3.75071,"GW/HMW-023","Y"
2185,"Llanfihangel Hill [Colva Hill]",532.0,52.1909,-3.17981,"GW/HMW-046","Y"
2186,"Cilfaesty Hill",528.0,52.4477,-3.28441,"GW/HMW-026","Y"
2191,"Gamallt",474.5,52.3266,-3.53421,"GW/HMW-040","Y"
2198,"Gilwern Hill",439.0,52.2155,-3.32025,"GW/HMW-042","Y"
2212,"Mynydd Pencarreg",415.0,52.069,-4.07948,"GW/HMW-060","Y"
2216,"Fforest",341.0,52.0386,-3.78446,"GW/HMW-034","Y"
2217,"Moelfre",335.0,51.9982,-4.43969,"GW/HMW-051","Y"
2218,"Dinas",331.0,52.105,-3.77942,"GW/HMW-029","Y"
2220,"Mynydd Figyn",328.0,51.9577,-4.04481,"GW/HMW-056","Y"
2223,"Garn Fawr",213.0,52.0083,-5.06719,"GW/HMW-041","Y"
2232,"Cribyn",795.0,51.8818,-3.41955,"GW/HSW-009","Y"
2239,"Pen Allt-mawr",720.0,51.9116,-3.15433,"GW/HSW-032","Y"
2261,"Garreg Lwyd [Moel Gornach]",616.0,51.8457,-3.82997,"GW/HSW-011","Y"
2271,"Mynydd Bwlch-y-Groes",442.0,52.0075,-3.64981,"GW/HSW-022","Y"
2286,"Rhossili Down - The Beacon",193.0,51.5758,-4.28296,"GW/HSW-034","Y"
2287,"Kilvey Hill",193.0,51.6291,-3.9215,"GW/HSW-013","Y"
2291,"Mynydd Gethin",491.0,51.7132,-3.38482,"GW/HSW-025","Y"
2306,"Hedgehope Hill",714.4,55.4719,-2.09035,"G/HSB-007","Y"
2308,"Windy Gyle",619.0,55.4306,-2.23008,"G/HSB-018","Y"
2309,"Cushat Law",616.2,55.4176,-2.11508,"G/HSB-003","Y"
2310,"Bloodybush Edge",609.8,55.4229,-2.15601,"G/HSB-001","Y"
2312,"The Schil",601.0,55.4946,-2.2088,"G/HSB-013","Y"
2331,"Great Calva",690.0,54.6708,-3.10107,"G/HLD-022","Y"
2349,"Dodd (Skiddaw)",502.0,54.6356,-3.17212,"G/HLD-015","Y"
2360,"Scafell",964.0,54.4475,-3.22473,"G/HLD-044","Y"
2365,"Bowfell",902.0,54.4478,-3.16621,"G/HLD-006","Y"
2369,"Esk Pike",885.0,54.4572,-3.1792,"G/HLD-017","Y"
2371,"Crinkle Crags - Long Top [Second Crinkle]",859.0,54.4337,-3.15981,"G/HLD-013","Y"
2374,"Crag Hill [Eel Crag]",839.0,54.5718,-3.25024,"G/HLD-012","Y"
2389,"Glaramara",783.0,54.4838,-3.16534,"G/HLD-019","Y"
2412,"Ullscarf",726.0,54.4999,-3.09552,"G/HLD-050","Y"
2436,"High Spy",653.0,54.5356,-3.18514,"G/HLD-034","Y"
2438,"Fleetwith Pike",648.0,54.5165,-3.22823,"G/HLD-018","Y"
2450,"Yewbarrow",627.0,54.4649,-3.27686,"G/HLD-053","Y"
2451,"Great Borne",616.0,54.5349,-3.35544,"G/HLD-021","Y"
2455,"High Seat",608.0,54.5526,-3.10377,"G/HLD-033","Y"
2459,"Middle Fell",582.0,54.4533,-3.31133,"G/HLD-038","Y"
2460,"Ard Crags",581.0,54.5669,-3.22812,"G/HLD-001","Y"
2471,"Lank Rigg",541.0,54.4948,-3.40397,"G/HLD-036","Y"
2476,"Crag Fell",523.0,54.5167,-3.39607,"G/HLD-011","Y"
2481,"Hen Comb",509.0,54.5508,-3.34326,"G/HLD-030","Y"
2492,"Murton Fell [Knock Murton]",447.0,54.5588,-3.40122,"G/HLD-039","Y"
2503,"Sale Fell",359.0,54.6556,-3.25017,"G/HLD-042","Y"
2508,"Black Fell",323.0,54.4055,-3.01796,"G/HLD-005","Y"
2525,"Great Dodd",857.0,54.5757,-3.01939,"G/HLD-023","Y"
2537,"Harter Fell (Mardale)",778.9,54.4764,-2.83532,"G/HLD-028","Y"
2542,"Ill Bell",757.0,54.462,-2.87084,"G/HLD-035","Y"
2547,"Clough Head",726.0,54.5937,-3.03236,"G/HLD-010","Y"
2550,"Branstree",713.0,54.4824,-2.80717,"G/HLD-007","Y"
2553,"Rest Dodd",696.0,54.5149,-2.87803,"G/HLD-041","Y"
2607,"Baystones [Wansfell]",486.9,54.4382,-2.92175,"G/HLD-054","Y"
2635,"Swirl How",802.0,54.3952,-3.12153,"G/HLD-049","Y"
2638,"Dow Crag",778.0,54.3703,-3.13666,"G/HLD-016","Y"
2640,"Wetherlam",763.0,54.4005,-3.09798,"G/HLD-052","Y"
2651,"Caw",529.0,54.3398,-3.18521,"G/HLD-009","Y"
2655,"Green Crag",489.0,54.3737,-3.2328,"G/HLD-025","Y"
2656,"Hesk Fell",477.0,54.3409,-3.26886,"G/HLD-031","Y"
2663,"Stickle Pike",375.0,54.3246,-3.21308,"G/HLD-047","Y"
2679,"Burney",298.0,54.2631,-3.13646,"G/HLD-008","Y"
2686,"Beacon Fell",255.0,54.3069,-3.11101,"G/HLD-002","Y"
2702,"Lowscales Hill",189.0,54.2258,-3.30093,"G/HLD-037","Y"
2719,"High Seat",709.0,54.4064,-2.30641,"G/HNP-012","Y"
2722,"Chapelfell Top",703.0,54.7079,-2.19418,"G/HNP-006","Y"
2734,"Lovely Seat",674.7,54.3508,-2.18759,"G/HNP-030","Y"
2759,"Randygill Top",624.0,54.3949,-2.48338,"G/HNP-020","Y"
2776,"Beacon Hill",286.0,54.6752,-2.74392,"G/HNP-002","Y"
2806,"The Chevin",282.0,53.8932,-1.69781,"G/HNP-027","Y"
2808,"Bleaklow Head",633.0,53.4613,-1.85896,"G/HSP-004","Y"
2818,"Win Hill",463.0,53.3624,-1.72098,"G/HSP-030","Y"
2821,"Bull Hill",418.0,53.6644,-2.35456,"G/HSP-006","Y"
2827,"Lees Moor",304.0,53.2036,-1.62838,"G/HSP-016","Y"
2828,"Raw Head",227.1,53.0885,-2.7354,"G/HSP-032","Y"
